packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,bytes_per_second,packets_per_second,connection_duration,unique_ports,protocol_ratio_tcp,entropy_bytes,entropy_packets,vnc_commands,vnc_responses,framebuffer_updates,key_events,pointer_events,mouse_clicks,keystroke_count,screenshot_count,file_transfer_size,compression_ratio,encryption_level,anomaly_score,protocol_ratio_udp,session_length
227,90910.00421016864,312,62,64,1500,975.9365614075048,2.461706303942516,177.52441291536218,3,0.8725723953320957,6.075482401957898,3.7863346950837853,47,57,5,5,18,2,3,2,0,1.1661792770225194,1,0.04109506848295297,0.1274,177.52441291536218
278,10000.0,268,38,64,1500,100.0,3.506015842913901,175.70919415307904,3,0.8479121182846008,5.754084398790294,4.791106359204986,31,23,13,7,11,9,3,0,0,1.4218415808732827,1,0.05602857598876934,0.1521,175.70919415307904
220,58237.78305189812,234,51,64,1500,1156.7151497121556,3.675928557056526,154.31839029643115,4,0.9232211663806441,7.5549610631340345,3.912135000638018,33,15,15,7,23,1,0,4,0,1.4198493810552926,1,0.05840035676824898,0.0768,154.31839029643115
234,64354.37619493405,240,65,64,1500,2074.492354425401,3.2131109771490856,145.37371827868515,2,0.8815956530911438,6.758672256373214,4.440423404584622,42,18,8,0,28,3,0,3,0,1.0136122095971998,1,0.06683603516846835,0.1184,145.37371827868515
467,332951.7678117767,3340,254,64,34748,45072.24337779874,20.0,28.442097774492098,7,0.9466325081632528,7.751002341844173,5.100698716091466,53,145,87,0,200,55,738,69,0,1.0922571459221375,0,0.8250653551675099,0.0534,28.442097774492098
149,43693.97972109881,334,71,64,1500,243.43699708618806,2.7240882997055427,265.65459966515823,2,0.9421222286436561,6.185049846125253,4.367684594506832,22,52,16,8,21,1,2,0,0,1.3869896600737983,1,0.055373503231462735,0.0579,265.65459966515823
204,47865.99148129232,224,60,64,1500,1555.9779943112467,1.8651934621394044,91.8920109238173,4,0.8949881609023984,7.38207748368516,4.021835288825972,53,52,11,5,28,3,4,1,0,0.9746671692592319,1,0.06070735324871849,0.105,91.8920109238173
329,27651.724126279605,147,83,64,1500,1015.110760735442,2.150195981096444,244.51021439835932,3,0.8020534860289802,7.443395579724379,4.134779803520565,23,43,15,8,11,4,0,0,0,1.0060525336558626,1,0.026597257710255756,0.1979,244.51021439835932
203,37249.45636349081,412,89,64,1500,1295.3922458110128,2.2234645556303567,257.34623182434365,3,0.8573655459058969,6.68687079524311,4.708249343669532,41,31,17,12,28,2,0,0,0,0.9191268136842685,1,0.04615015977853991,0.1426,257.34623182434365
284,62018.63928469126,415,67,64,1500,976.6661731072531,2.61647088610855,199.51332651707142,2,0.8903346070276553,6.393648668937957,3.896182694475725,25,55,9,0,3,0,6,6,0,1.2215279851248506,1,0.06804591756655577,0.1097,199.51332651707142
232,75658.42621087698,220,47,64,1500,396.076944785926,3.0759492444999266,84.71619091441268,2,0.9781116342075951,7.285494782354617,4.109475557148019,30,44,18,10,6,2,4,2,0,1.2362923876715217,1,0.04003260385102329,0.0219,84.71619091441268
101,90357.67386809003,401,50,64,1500,1924.6155243216954,1.0,215.4690779990266,3,0.7841815366255735,6.851929551557897,4.107403463691309,30,48,6,6,19,5,0,5,0,1.0658813084652021,1,0.033612144641691946,0.2158,215.4690779990266
179,85496.85959207779,269,55,64,1500,787.3185348402579,3.9835682443592297,217.8200801802356,4,0.8754861900305348,6.023852437859371,3.747270950824103,50,21,20,11,19,7,4,0,0,1.1551936200667348,1,0.024985920337267133,0.1245,217.8200801802356
166,57952.71148983367,228,59,64,1500,1491.385285501935,3.4741991075711014,179.8671302576671,3,0.828241491588497,5.142802023514876,3.783205631717496,27,40,11,4,23,3,2,5,0,1.0693851996346488,1,0.039030467629615526,0.1718,179.8671302576671
149,24785.34215107206,316,20,64,1500,1990.2382060879463,2.0439764044570183,127.93004737318805,2,0.99,5.769843847368961,3.7920915582613106,42,42,19,0,7,0,5,3,0,1.1965004027580763,1,0.0474909154695952,0.01,127.93004737318805
522,251788.9783195854,2666,137,64,61692,14807.066810730328,174.68383935946798,20.0,8,0.8003911986652577,6.77316859196836,3.5,95,92,83,497,222,49,331,61,176859085,1.0133526549189311,0,0.3365271485363733,0.1996,20.0
437,706825.9975966953,938,221,64,37025,45972.63509232796,137.44916395474746,155.49961314616172,8,0.786838598871007,6.863290165043765,6.0,86,147,118,212,230,62,351,80,0,0.601749385817103,0,0.7883302160821513,0.2132,155.49961314616172
196,15532.462908271984,272,34,64,1500,1385.7601784945607,3.547698728591523,192.97321205979495,3,0.8642078886724658,6.143228135932639,4.178410724421201,22,15,25,4,22,7,5,1,0,1.0089209501179868,1,0.05845862901590198,0.1358,192.97321205979495
269,65265.29302266017,427,27,64,1500,865.4918367800952,3.1176667158424007,145.86053814724835,2,0.865601345589031,6.476208191920215,4.5636959879807755,49,28,16,1,18,5,0,3,0,0.9570864043619043,1,0.05337227680746317,0.1344,145.86053814724835
268,80033.41363031189,255,67,64,1500,100.0,1.3495513300930293,244.7191443794363,4,0.9211032724156749,6.6492767840699765,4.18608610425332,39,34,26,12,19,6,7,3,0,1.0524523105576225,1,0.018325275951941486,0.0789,244.7191443794363
239,82110.87507592398,190,47,64,1500,1023.6551767314355,2.495905998469863,164.2421424643932,2,0.8051099252858841,6.144687918606953,3.946485119532522,48,24,12,15,13,3,9,2,0,1.6928170760948673,1,0.013060839488229087,0.1949,164.2421424643932
100,676574.1675038715,200,72,64,32654,60301.882237057594,134.3307770500648,193.45168348333078,2,0.9730608257598466,7.090721232771202,4.335997608723751,264,107,10,73,129,16,138,73,0,1.087257940195051,0,0.5032722823780804,0.0269,193.45168348333078
401,751917.4823599285,877,257,64,41716,20758.8078037506,20.0,158.54105734450732,5,0.9572504400821674,8.0,5.810911698417122,106,187,62,354,72,69,0,5,0,0.76183250503111,0,0.5406225628119564,0.0427,158.54105734450732
132,73024.10678714329,306,36,64,1500,444.89164479952956,2.8019497420893957,227.3561283737806,2,0.9132781583925242,6.14553667582472,4.354496416573273,32,59,17,2,16,1,0,2,0,0.6577205086903944,1,0.05029528478248738,0.0867,227.3561283737806
285,65516.44167595861,171,50,64,1500,774.87366206219,3.7371213181699945,143.48178308540284,4,0.8896948471121525,5.894755192393706,4.148022761885035,16,39,15,7,16,0,14,5,0,0.7054192803030025,1,0.030828179263150145,0.1103,143.48178308540284
